Lake,date,MeanTemp
H1A,2019-07-17,4.7473
H1A,2019-07-18,3.9705777777777778
H1A,2019-07-19,4.2848
H1A,2019-07-20,4.414666666666666
H1A,2019-07-21,4.440869565217391
H1A,2019-07-22,4.6525
H1A,2019-07-23,4.9470217391304345
H1A,2019-07-24,4.873872340425532
H1A,2019-07-25,5.785617021276596
H1A,2019-07-26,5.700510638297872
H1A,2019-07-27,5.879829787234042
H1A,2019-07-28,6.755872340425532
H1A,2019-07-29,6.46072340425532
H1A,2019-07-30,7.086340425531915
H1A,2019-07-31,7.438382978723404
H1A,2019-08-01,7.655574468085106
H1A,2019-08-02,8.391234042553192
H1A,2019-08-03,8.647770833333333
H1A,2019-08-04,9.194734693877551
H1A,2019-08-05,9.583795918367347
H1A,2019-08-06,10.562020408163265
H1A,2019-08-07,10.981306122448979
H1A,2019-08-08,11.00073469387755
H1A,2019-08-09,10.918244897959184
H1A,2019-08-10,11.047795918367347
H1A,2019-08-11,11.08934693877551
H1A,2019-08-12,10.90238775510204
H1A,2019-08-13,11.83006
H1A,2019-08-14,12.1753
H1A,2019-08-15,12.672607843137255
H1A,2019-08-16,13.086666666666666
H1A,2019-08-17,13.183117647058824
H1A,2019-08-18,13.101627450980391
H1A,2019-08-19,13.262588235294118
H1A,2019-08-20,13.394490196078431
H1A,2019-08-21,12.935711538461538
H1A,2019-08-22,13.592076923076924
H1A,2019-08-23,12.97475
H1A,2019-08-24,13.538326923076923
H1A,2019-08-25,14.085557692307692
H1A,2019-08-26,14.12001923076923
H1A,2019-08-27,13.964811320754716
H1A,2019-08-28,13.468351851851851
H1A,2019-08-29,13.602592592592593
H1A,2019-08-30,13.882240740740741
H1A,2019-08-31,13.472481481481482
H1A,2019-09-01,13.884074074074073
H1A,2019-09-02,13.365981481481482
H1A,2019-09-03,11.880018518518519
H1A,2019-09-04,11.941818181818181
H1A,2019-09-05,11.898254545454545
H1A,2019-09-06,11.837654545454544
H1A,2019-09-07,12.362461538461538
H1P,2019-07-17,4.7473
H1P,2019-07-18,3.9705777777777778
H1P,2019-07-19,4.2848
H1P,2019-07-20,4.414666666666666
H1P,2019-07-21,4.440869565217391
H1P,2019-07-22,4.6525
H1P,2019-07-23,4.9470217391304345
H1P,2019-07-24,4.873872340425532
H1P,2019-07-25,5.785617021276596
H1P,2019-07-26,5.700510638297872
H1P,2019-07-27,5.879829787234042
H1P,2019-07-28,6.755872340425532
H1P,2019-07-29,6.46072340425532
H1P,2019-07-30,7.086340425531915
H1P,2019-07-31,7.438382978723404
H1P,2019-08-01,7.655574468085106
H1P,2019-08-02,8.391234042553192
H1P,2019-08-03,8.647770833333333
H1P,2019-08-04,9.194734693877551
H1P,2019-08-05,9.583795918367347
H1P,2019-08-06,10.562020408163265
H1P,2019-08-07,10.981306122448979
H1P,2019-08-08,11.00073469387755
H1P,2019-08-09,10.918244897959184
H1P,2019-08-10,11.047795918367347
H1P,2019-08-11,11.08934693877551
H1P,2019-08-12,10.90238775510204
H1P,2019-08-13,11.83006
H1P,2019-08-14,12.1753
H1P,2019-08-15,12.672607843137255
