Lake,Year,peaktemp
H1A,2019,14.12001923076923
H1A,2021,14.983258064516129
H1P,2019,14.12001923076923
H1P,2021,14.983258064516129
H2A,2019,15.69176923076923
H2A,2021,16.791620689655172
H2P,2019,16.832
H2P,2021,16.762206896551724
H3A,2019,17.717826923076924
H3A,2021,16.443793103448275
H3P,2019,17.264115384615383
H3P,2021,15.784387096774193
